Cleaned_Sentence,Sentiment
geosolutions technology leverage benefon gps solution provide location base search technology community platform location relevant multimedia content new powerful commercial model .,2
$ esi low $ 1.50 $ 2.50 bk real possibility,0
last quarter 2010 componenta net sale double eur131m eur76m period year earlier move zero pretax profit pretax loss eur7m .,2
accord finnishrussian chamber commerce major construction company finland operate russia .,1
swedish buyout firm sell remain 22.4 percent stake almost eighteen month take company public finland .,1
$ spy wouldnt surprise see green close,2
shell $ 70 billion bg deal meet shareholder skepticism,0
ssh communication security corp stock exchange release october 14 2008 245 pm company update full year outlook estimate result remain loss full year .,0
kone net sale rise 14 % yearonyear first nine month 2008 .,2
stockmann department store total floor space 8000 square metre stockmann investment project price tag eur 12 million .,1
circulation revenue increase 5 % finland 4 % sweden 2008 .,2
$ sap q1 disappoints license . real problem ? growth trail $ msft $ orcl $ goog $ crm $ adbe,0
subdivision make sale revenue last year eur 480.7 million eur 414.9 million 2008 operate profit eur 44.5 million eur 7.4 million .,2
viking line cancel service .,1
ahlstrom corporation stock exchange announcement 7.2.2007 10.30 total 56955 new share ahlstrom corporation subscribe option right company stock option program 2001 ii 2001 .,1
$ fb go green day,2
$ msft sql server revenue grow doubledigit sql server premium revenue grow 30 %,2
accord lnnen tehtaat ceo matti karppinen company aim deliver fish product customer day earlier currently .,1
company share quote nasdaq omx helsinki rautaruukki oyj rtrks .,1
elcoteq se list nasdaq omx helsinki ltd. .,1
two contract turntable anode vibrocompactors deliver gansu hualu aluminum co ltd another unnamed costumer .,1
aviva friends life top forecast ahead 5.6 billion pound merger,2
stead base soft drink usual teho energy drink make fresh water .,1
company plan increase unit specialist staff several dozen depend market situation 2010 .,1
company close last year turnover four million euro .,1
shire ceo step drive get baxalta board talk,2
costco premier retail dividend play $ cost,2
fivestorey ecoefficient building gross floor area 15000 sq m. also include apartment .,1
first installment cinema series conclude profile finnish inventor olavi linden whose personal artistic journey work fiskars lead dozen design award .,1
welcome .,1
stockmann swedish sector company ab lindex enter agreement september 30 2007 whereby stockmann whollyowned subsidiary make public tender offer lindex issue share .,2
huhtamaki oyj stock exchange release 16.9.2008 13.32 huhtamaki capital market day institutional investor analyst hold espoo september 16 2008 start 13.30 pm finnish time .,1
pleased welcome tapeks noma cramo group .,2
profit tax eur 105.9 82.7 million .,1
royal dutch shell buy bg group nearly $ 70 billion,2
financialwire tm press release service receive compensation news opinion distribution .,1
assa abloy kaupthing bank give neutral recommendation share price target 174 crowns $ 24.7 19 euro swedish lock maker assa abloy ab .,1
item include restructuring cost eur1 .6 year earlier eur13 .1 m. dilute eps stand eur0 .3 versus loss per share eur 0.1 .,2
2005 bank post net profit lt 8.2 mn .,1
$ aapl afternoon selloff usual brutal . get ready lose ton money .,0
$ tsla recall pretty much every single model x get short even work jump money trade,0
dolce gabbana ask european union declare marimekko corporation unikko floral pattern trademark invalid continue dispute two company .,0
intercontinental hotel firstquarter global room revenue lag estimate,0
accord finnish pension insurance company varma varma recipient two third revenue earningsrelated pension cover competitive tendering finland .,2
portion $ 12.5 million record part winning prior patent dispute finnish phone maker nokia oyj .,2
lg still pay price dividend cut crisis chief say,0
volume investment two phase project estimate usd 300mn eur 215.03 mn .,1
russia account 9 % lagardere magazine division revenue eur 114.40 mn usd 148.11 mn 2009 usa 18 % .,1
company also estimate already carry investment lead increase net sale 2010 2009 reach eur 141.7 million .,2
profit accounting period eur 0.3 mn .,1
six brewery record 5.2 percent growth domestic beer sale last year 270.21 million liter 256.88 million liter sold 2005 .,2
augustoctober 2010 company result tax total eur 9.6 mn eur 0.5 mn correspond period 2009 .,2
systeemitiimi sale project resource also strengthen director paul skogberg say .,2
tesco share price jump q3 sale top estimate,2
fine print .,1
price log clearly improve 2009 also price pulpwood go .,2
thus sysopen digia accordance chapter 14 section 21 finnish company act 29.9.1978 734 obtain title share sentera redeem .,1
dilute earnings per share eps fell eur 0.63 eur 1.71 .,1
337 p.m. eastern time block 2400 contract change hand bid price $ 0.45 .,1
recent technology delivery include refinery technology anrak aluminium iron ore pelletizing plant tata steel iron ore sinter plant bhushan steel .,1
$ vip similar pattern like begin may . u sell ? .. go much high drop .,2
firm generate sale 187 mln eur 2005 .,1
stora enso also meeting labor authority employment economic development centre representative government order find solution .,1
astrazeneca profit sale stalwart fade,0
rt chartology yahoo $ yhoo crazy look chart near breakout resistance line ...,2
bullish stock twitter dip . $ yhoo $ gdx $ googl $ stz $ gold $ ew $ vz $ celg $ sbux $ scty,2
finnish geosentric net sale decrease eur 939000 januarymarch 2009 .,0
cohen steer inc. 5 534 626 share represent 4.985 % share capital voting right .,1
staff recruit japan complement network close 50 service location 20 country worldwide .,2
paper company negative territory stora enso r shed 1.62 pct 12.73 eur upmkymmene 0.80 pct 18.64 eur mreal b 0.18 pct low 5.57 eur .,1
kaukotelko centralize administration dissolve appropriate part transfer operating activity group administration end year .,1
operating profit quarter apriljune 2006 amount eur182 .2 sale eur3 .62 bn .,1
atrium choose delight attract consumer 2545 age group atria fresh range microwaveable meal .,1
finnish solution provider affecto oyj hel afe1v say today slip net loss eur 115000 usd 152000 second quarter 2010 profit eur 845000 corresponding period year earlier .,1
u sanction put gazpromshell alliance plan jeopardy,0
profit period eur 10.9 mn eur 14.3 mn 2009 .,1
profit period eur 5.9 mn eur 1.3 mn .,2
operating profit fell eur 20.3 mn eur 74.2 mn second quarter 2008 .,1
however sale return growth apriljune 2010 ceo pekka eloholma say .,2
operating profit total eur 18.6 mn 8.3 % net sale .,1
change market situation tougher price competition substantially reduce demand bread packaging manufacture kauhava plant accord company .,0
connection deal digia employ 19 person nokia oslo silicon valley usa .,1
brazilian unit finnish security solution provider fsecure sign 1500 new client last year online news source reseller web quote division commercial director vladimir brando say .,2
fair value company investment property go eur 2.768 billion end 2009 eur 2.916 billion year earlier .,1
dealer say share largely hit investor disappointment refine margin 9.48 usd per barrel quarter performance ship unit saw ebit drop 5 mln eur 20 mln eur year amid fall volume tanker rate .,0
testament quality lte solution commitment japanese market add .,1
company aim finalize negotiation sign contract start october 2008 .,1
metso foundry jyvaskyla oy discontinue production line 30 september 2008 company say .,1
total six poll analyst rat mreal two give buy accumulate three give hold one give sell .,1
september 2010 finnish group agree buy danish company rise poultry eur23 .9 combination cash stock .,2
$ yang double bottom 5.2,2
tesco share price grocer face sfo investigation outcome,0
$ aapl news become bullish,2
g engineering install valve liquefy natural gas lng plant build uae lng extraction gas plant operator gasco ruwais uae .,1
percentage share vote right calculate proportion total number share register trade register total number voting right relate .,1
mreal say ground rumor circulate market month .,1
lember say matter topical also estonia bill draft social affair ministry would scrap oldage pension favorable condition .,1
moody say give p a1 longterm senior unsecured p p1 shortterm debt rating finnish lender aktia bank eur1bn usd1 .4 bn euro mediumterm note emtn program 25 march 2011 .,1
$ tsla recall,0
liquidity provide interrupt may 11 2007 aspocomp group oyj share trade 0.50 cent aspocomp stock exchange release 11.5.2007 .,1
hargreaves lansdown buck weak market see asset rise 2.6 percent,2
12.59 pm omx helsinki 25 index 0.32 pct low 2694.81 .,0
decision mean temporary layoff fix duration company nastola jyvaskyla unit southern central finland respectively .,1
value order eur 10mn .,1
m laakso responsible hkscan hr function development group smarket area .,1
fiskars also engage global supply marine energy equipment solution service associate company wartsila corporation .,1
aberdeen asset management gain foothold china,2
finland dominate rail company vr planning set infected passenger longdistance trip separate carriage .,1
november finnish government decrease ownership company 31.1 percent 38 percent .,1
finnish exel composite technology company design manufacture market composite profile tube various industrial application report net sale decrease 0.6 % second quarter 2010 eur 19.2 mn eur 19.3 mn correspond period 2009 .,1
bavelloni nst joint venture bavelloni tool completes semiproducts produce italy highquality tool sell diapol brand .,1
tool patent pending design allow consumer lay entire project removable plate use multiple clear stamp kind .,1
$ googl short 740 upper bb overbought,0
light curfew curl late bestseller treat eye perfect read light luceplan .,1
upmkymmene corp. world large maker magazine paper tuesday report 19percent profit drop low paper price higher cost strong euro hurt revenue .,0
total value contract eur 8 million .,1
prerequisite inclusion program receipt gain key employee acquire aspo share amount determine board advance maximum .,1
mr. doring eaton since 1989 act business unit manager eaton power control business unit since january 2007 .,1
250 sq 2691 sq ft store copenhagen premier shop district inaugurate today strengthen company presence nordic capital .,2
financial statement first quarter 2010 tikkurila report discontinued operation .,1
world second large stainless steel maker say net profit threemonth period dec. 31 surge euro603 million u $ 781 million euro3 .33 u $ 4.31 per share euro172 million euro0 .94 per share previous year .,2
name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication . 2424kolnp2008 adate filing application 16062008publication date 30012009,1
netflix grows effort create loyal customer $ nflx,2
omx nordic 40 omxn40 index comprise 40 traded nordic stock nasdaq omx exchange close 0.87 % 1064.14 point thursday .,0
$ aapl nibble small long via 525 .. buying 13min chart ..,2
operate margin aker yard cruise ferry division go 8.3 % 6.4 % first quarter 2007 .,0
$ tyc break new high lot technical look great right .,2
eero katajavuori currently group vice president human resource take yearlong sabbatical start october 1 2010 .,1
whats $ lulu ? number look good great good . think conference call instill confidence .,1
adjustment measure carry phase secure delivery capability .,1
alma medium corporation press release 15 march 2010 tyrvaan sanomat paikallissanomat buy suomen paikallissanomat two local paper tyrvaan sanomat paikallissanomat appear sastamala neighbour municipality buy suomen paikallissanomat oy .,1
temporary layoff affect entire workforce also implement .,0
meet medium analyst hold day 1030 a.m. stonesoft headquarters helsinki italahdenkatu 22 a. interim report present stonesoft ceo ilkka hiidenheimo .,1
finnish samporosenlew manufacture approximately seven forest machine monthly half machine export .,1
facebook near buy point last week face different technical test today $ fb $ aapl $ nflx,2
4 february 2011 finnish broadband data communication system provider teleste oyj hel tlt1v say wednesday net profit rocket eur4 .8 2010 eur416 000 2009 lift dividend proposal .,2
$ free ha heeeeeere come pump ! glad pick 9k end day ! get ready bull ride !,2
finnish technology group aspocomp group oyj omx helsinki acg1v issue third quarter report thursday 13 november post operating profit eur0 .4 compare loss eur0 .5 third quarter 2007 .,2
building complex consist highquality office retail space total 49200 square metre company say .,1
finnish insurance company fennia kesko group end loyal customer cooperation .,1
unit plan operational second half 2007 full stream 2008 .,1
itg share deal estimate 500000 euro $ 627000 .,1
plant expect enter commercial operation mid2009 .,1
aspo also investigate sale opportunity kaukomarkkinat electronics business .,1
bg group appoint new ceo one month early,1
acquisition immediate positive impact aspocomp financial result .,2
finnair passenger load factor measure number sell seat share available seat drop 1.3 percentage point 76.7 % september .,0
rt $ lng look prim also $ eght poise run ...,2
also 7.7 pct 12month volume weight average price stock .,2
coke dividend 3 % . google dividend 0 % . passive income coke take . $ goog $ ko,1
profit tax eur 5.4 mn eur 3.6 mn year earlier .,2
subsidiary set facility manufacture highdensity interconnection print circuit board pcbs nokia special economic zone sriperumbudur near chennai .,1
$ crm sep 40 call 35 % since entry,2
januaryjune 2010 diluted loss per share stand eur0 .3 versus eur0 .1 first half 2009 .,0
rapala say estimate make saving 12 mln eur year centralise french operation one site .,2
$ vmw get nice push today follow small sweeper may c morning,2
top consensus forecast earnings 0.21 euro share .,2
rd loan .,1
future company intend look knowhow outside company cooperate actor sector .,2
need ready window open rosberg say .,1
50000 tonne asphalt mix use contract .,1
pa jpmorgan chase co nyse jpm pohjoa bank joint leadmanagers senior unsecured deal .,1
$ ctrp break good vol parser buy signal .. notice bob langs comment look 48 fast,2
sale finland decrease 10.5 % january sale outside finland drop 17 % .,1
pulp production finnish kemijrvi also liquidate 1100 employee loose job .,0
nordea cheapest also couple 30 debt .,1
jussi pesonen member sampo board since 2006 renounce seat sampo board .,1
tesla recall 2700 model x car $ tsla,0
adjust change group structure division net sale increase 1.7 % .,2
make matter difficult company say grapple high oil gas price push cost energy raw material transportation .,1
amend proposal simplifies propose plan increase incentive key employee stay company .,2
solution expand include ground staff task .,1
operating loss total eur 3.2 mn compare profit eur 7.2 mn third quarter 2008 .,0
look sharp move equity $ aapl $ hd $ low $ fb see $ uvxy $ tvix get hammer even though market .,2
net sale total eur 93.6 mn eur 93.2 mn correspond period 2005 .,2
consequence work council withdraw petition suspend reorganisation .,1
ceo erkki jrvinen happy company performance 2010 .,2
comparable net sale expect increase 10 % 2008 line group target .,2
follow transaction lundbeck worldwide right nalmefene exclude north america mexico turkey southkorea .,2
government start selloff last month put 8 percent stake teliasonera auction bloc .,1
report go provide detailed profile ten lead european specialty chemical company brief profile major player .,1
operating profit net sale threemonth period increase respectively eur16 .0 eur139m compare corresponding quarter 2006 .,2
company expect net sale whole 2009 previous year level .,1
company headquarter sievi finland list nordic exchange helsinki .,1
commission income increase 22 % eur 4.4 mn lending volume rise 13.5 % .,2
finnish company sell uk operation consist 50 staff office london birmingham manchester part deal hampden july 2001 europeanwide property casualty arm sampo industrial .,1
building home improvement trade sale decrease 22.5 % eur 201.4 mn .,0
innova 2 building locate close downtown immediate vicinity paviljonki travel center within walk distance heart city thanks trade fair bridge .,1
finnish textile clothe group marimekko oyj posted net profit 7.99 mln euro $ 10.4 mln 2006 compare 8.4 mln euro $ 10.9 mln 2005 .,1
main strength cooperation project lie merge knowhow two large company .,2
shareholder right put agenda agm item within competence general meeting .,1
kazgiprotsvetmet outotec finland sign agreement strategic cooperation marketing provide mineral process metallurgical plant relate service kazakhstan surround country .,2
due rapid decrease net sale personnel reduction carry wide scale initially expect .,1
government instead propose exchange state stake lmt teliasonera stake lattelecom .,1
stora due release fourthquarter 2009 fullyear earnings feb. 4 .,1
fullyear operate result 2008 3.6 million negative .,1
$ nq get hit hard low look like found support 18.89,0
